Name,Link
"Hagedorn, Edward",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=33512
"Hagelstange, Rudolf",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=13894
"Hagemann, Gustav",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=4282
"Hagemeyer, Johan",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=26834
"Hagen, Emil",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=7611
"Hagenauer, Friedrich",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=2128
"Hager, Lee",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=7612
"Hagerman, Kent",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=33513
"Haghe, Louis",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=6855
"Hagiwara, Hideo",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=4283
"Hague, Heukelekian",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=6635
"Hague, Raoul",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=6635
"Hagy, Elizabeth",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=17653
"Hahn, Harold Maxwell",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=33514
"Hahn, Walter",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=33515
"Haid, Johannes Elias",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=10430
"Haid, Johannes Jacob",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=10429
"Haid, Johann Gottfried",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=25803
"Hailstone, Bernard",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=1368
"Haines, Richard",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=2555
"Hainzelman, Johann",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=6232
"Hák, Miroslav",https://web.archive.org/web/20121010213427/http://www.nga.gov/cgi-bin/tsearch?artistid=29212
"Hake, Otto E.",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=7613
"Halaby, Samia Asaad",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4284
"Halász, Gyula",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=13567
"Halbauer, Christian",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=22048
"Halbax, Michael Wenzel",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=31158
"Halbou, Louis-Michel",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4285
"Hale, Ellen Day",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=33517
"Hale, Lilian Westcott",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=9838
"Hale, Philip Mrs.",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=9838
"Halegua, Alfredo",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=2129
"Halem, Gerhard Anton von",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=7011
"Halévy, Ludovic",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=31312
"Haley, John Charles",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=33516
"Halfant, Jules",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=24375
"Halfpenny, John",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=11537
"Halfpenny, Joseph S.",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=14755
"Halfpenny, William",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=11536
"Hall, Charles",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=12042
"Hall, Frederick Garrison",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=5737
"Hall, John",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=7614
"Hall, John",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4286
"Hall, Lillian E.",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=33518
"Hall, Rick",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4287
"Hall, Susan",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=5928
"Hallbrock, Jo",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=6372
"Halle, J.S.L.",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4288
"Haller, Albrecht von",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=34626
"Haller, Emanuel",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=4289
"Halley, Peter",https://web.archive.org/web/20121010213509/http://www.nga.gov/cgi-bin/tsearch?artistid=21231
"Hallmann, Anton",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=24319
"Halpert, Samuel",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=21587
"Halpin, Grace",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=7615
"Hals, Frans",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=1369
"Halsey, Brian",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=4290
"Hamabe, Francis E.",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=33520
"Hamaguchi, Yozo",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=4291
"Hamblen, Sturtevant J.",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=5518
"Hamblin, L.J.",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=5518
"Hamblin, Sturtevant J.",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=5518
"Hamen y León, Juan van der",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=1370
"Hamera, Oldrich",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=24830
"Hamerani, Ermenegildo",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=17294
"Hamerani, Giovanni",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=10052
"Hamerani, Ottone",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=20733
"Hamerton, Philip Gilbert",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=7138
"Hamilton, Ann",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=25362
"Hamilton, Ed",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=10115
"Hamilton, Hamilton",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=6053
"Hamilton, Hugh Douglas",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=6762
"Hamilton, Richard",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=4292
"Hamilton, William",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=18855
"Hamlin, Larry",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=23135
"Hamlin, Lawrence",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=23135
"Hammer, Sid",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=4293
"Hammer, Victor",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=2556
"Hammer, Wolf",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=4929
"Hammersley, Frederick",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=36662
"Hammond, Jane",https://web.archive.org/web/20121010213438/http://www.nga.gov/cgi-bin/tsearch?artistid=21588
"Hampl, Josef",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=24822
"Hampl, Petr",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=24872
"Han, Hsiang Ning",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=34290
"Hancock, Walker",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=2130
"Hancock, Walter Kirtland",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=2130
"Handelsman, Bernard",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=33521
"Handforth, Thomas Schofield",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=5738
"Handy, Dorothy",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7616
"Handy, John",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=21032
"Hanias, Johannes",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=14874
"Hankins, Abraham P.",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=4294
"Hanks, Fletcher",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7617
"Hanley, Charles",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=20097
"Hannah, John",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=33522
"Hannell, Vinol M.S.",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=35137
"Hanneman, Adriaen",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=1371
"Hanning, Robert",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=27036
"Hannock, Stephen",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=29837
"Hannula, Simo Pertii",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=4295
Hans von Essen,https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=4560
"Hanscom, Trude",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=4296
"Hansen, Armin C.",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=34630
"Hansen, Emil",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=2666
"Hansen, Esther",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7618
"Hansen, Holger",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7619
"Hansen, Marius",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7620
"Hansen, Mary",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=7621
"Hansen, Robert",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=5921
"Hanspers, Olle",https://web.archive.org/web/20121010213518/http://www.nga.gov/cgi-bin/tsearch?artistid=4297
